track_id,name,album_id,media_type_id,genre_id,composer,milliseconds,bytes,unit_price
1,For Those About To Rock (We Salute You),1,1,1,"Angus Young, Malcolm Young, Brian Johnson",00:00:00,11170334,0.99
2,Balls to the Wall,2,2,1,,01:00:00,5510424,0.99
3,Fast As a Shark,3,2,1,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",02:00:00,3990994,0.99
4,Restless and Wild,3,2,1,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",03:00:00,4331779,0.99
5,Princess of the Dawn,3,2,1,Deaffy & R.A. Smith-Diesel,04:00:00,6290521,0.99
6,Put The Finger On You,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",05:00:00,6713451,0.99
7,Let's Get It Up,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",06:00:00,7636561,0.99
8,Inject The Venom,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",07:00:00,6852860,0.99
9,Snowballed,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",08:00:00,6599424,0.99
10,Evil Walks,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",09:00:00,8611245,0.99
11,C.O.D.,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",10:00:00,6566314,0.99
12,Breaking The Rules,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",11:00:00,8596840,0.99
13,Night Of The Long Knives,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",12:00:00,6706347,0.99
14,Spellbound,1,1,1,"Angus Young, Malcolm Young, Brian Johnson",13:00:00,8817038,0.99
15,Go Down,4,1,1,AC/DC,14:00:00,10847611,0.99
16,Dog Eat Dog,4,1,1,AC/DC,15:00:00,7032162,0.99
17,Let There Be Rock,4,1,1,AC/DC,16:00:00,12021261,0.99
18,Bad Boy Boogie,4,1,1,AC/DC,17:00:00,8776140,0.99
19,Problem Child,4,1,1,AC/DC,18:00:00,10617116,0.99
20,Overdose,4,1,1,AC/DC,19:00:00,12066294,0.99
21,Hell Ain't A Bad Place To Be,4,1,1,AC/DC,20:00:00,8331286,0.99
22,Whole Lotta Rosie,4,1,1,AC/DC,21:00:00,10547154,0.99
23,Walk On Water,5,1,1,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",22:00:00,9719579,0.99
24,Love In An Elevator,5,1,1,"Steven Tyler, Joe Perry",23:00:00,10552051,0.99
25,Rag Doll,5,1,1,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",00:00:00,8675345,0.99
26,What It Takes,5,1,1,"Steven Tyler, Joe Perry, Desmond Child",01:00:00,10144730,0.99
27,Dude (Looks Like A Lady),5,1,1,"Steven Tyler, Joe Perry, Desmond Child",02:00:00,8679940,0.99
28,Janie's Got A Gun,5,1,1,"Steven Tyler, Tom Hamilton",03:00:00,10869391,0.99
29,Cryin',5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes",04:00:00,10056995,0.99
30,Amazing,5,1,1,"Steven Tyler, Richie Supa",05:00:00,11616195,0.99
31,Blind Man,5,1,1,"Steven Tyler, Joe Perry, Taylor Rhodes",06:00:00,7877453,0.99
32,Deuces Are Wild,5,1,1,"Steven Tyler, Jim Vallance",07:00:00,7074167,0.99
33,The Other Side,5,1,1,"Steven Tyler, Jim Vallance",08:00:00,7983270,0.99
34,Crazy,5,1,1,"Steven Tyler, Joe Perry, Desmond Child",09:00:00,10402398,0.99
35,Eat The Rich,5,1,1,"Steven Tyler, Joe Perry, Jim Vallance",10:00:00,8262039,0.99
36,Angel,5,1,1,"Steven Tyler, Desmond Child",11:00:00,9989331,0.99
37,Livin' On The Edge,5,1,1,"Steven Tyler, Joe Perry, Mark Hudson",12:00:00,12374569,0.99
38,All I Really Want,6,1,1,Alanis Morissette & Glenn Ballard,13:00:00,9375567,0.99
39,You Oughta Know,6,1,1,Alanis Morissette & Glenn Ballard,14:00:00,8196916,0.99
40,Perfect,6,1,1,Alanis Morissette & Glenn Ballard,15:00:00,6145404,0.99
41,Hand In My Pocket,6,1,1,Alanis Morissette & Glenn Ballard,16:00:00,7224246,0.99
42,Right Through You,6,1,1,Alanis Morissette & Glenn Ballard,17:00:00,5793082,0.99
43,Forgiven,6,1,1,Alanis Morissette & Glenn Ballard,18:00:00,9753256,0.99
44,You Learn,6,1,1,Alanis Morissette & Glenn Ballard,19:00:00,7824837,0.99
45,Head Over Feet,6,1,1,Alanis Morissette & Glenn Ballard,20:00:00,8758008,0.99
46,Mary Jane,6,1,1,Alanis Morissette & Glenn Ballard,21:00:00,9163588,0.99
47,Ironic,6,1,1,Alanis Morissette & Glenn Ballard,22:00:00,7598866,0.99
48,Not The Doctor,6,1,1,Alanis Morissette & Glenn Ballard,23:00:00,7604601,0.99
49,Wake Up,6,1,1,Alanis Morissette & Glenn Ballard,00:00:00,9703359,0.99
50,You Oughta Know (Alternate),6,1,1,Alanis Morissette & Glenn Ballard,01:00:00,16008629,0.99
51,We Die Young,7,1,1,Jerry Cantrell,02:00:00,4925362,0.99
52,Man In The Box,7,1,1,"Jerry Cantrell, Layne Staley",03:00:00,9310272,0.99
53,Sea Of Sorrow,7,1,1,Jerry Cantrell,04:00:00,11316328,0.99
54,Bleed The Freak,7,1,1,Jerry Cantrell,05:00:00,7847716,0.99
55,I Can't Remember,7,1,1,"Jerry Cantrell, Layne Staley",06:00:00,7302550,0.99
56,"Love, Hate, Love",7,1,1,"Jerry Cantrell, Layne Staley",07:00:00,12575396,0.99
57,It Ain't Like That,7,1,1,"Jerry Cantrell, Michael Starr, Sean Kinney",08:00:00,8993793,0.99
58,Sunshine,7,1,1,Jerry Cantrell,09:00:00,9216057,0.99
59,Put You Down,7,1,1,Jerry Cantrell,10:00:00,6420530,0.99
60,Confusion,7,1,1,"Jerry Cantrell, Michael Starr, Layne Staley",11:00:00,11183647,0.99
61,I Know Somethin (Bout You),7,1,1,Jerry Cantrell,12:00:00,8497788,0.99
62,Real Thing,7,1,1,"Jerry Cantrell, Layne Staley",13:00:00,7937731,0.99
63,Desafinado,8,1,2,,14:00:00,5990473,0.99
64,Garota De Ipanema,8,1,2,,15:00:00,9348428,0.99
65,Samba De Uma Nota Só (One Note Samba),8,1,2,,16:00:00,4535401,0.99
66,Por Causa De Você,8,1,2,,17:00:00,5536496,0.99
67,Ligia,8,1,2,,18:00:00,8226934,0.99
68,Fotografia,8,1,2,,19:00:00,4198774,0.99
69,Dindi (Dindi),8,1,2,,20:00:00,8149148,0.99
70,Se Todos Fossem Iguais A Você (Instrumental),8,1,2,,21:00:00,4393377,0.99
71,Falando De Amor,8,1,2,,22:00:00,7121735,0.99
72,Angela,8,1,2,,23:00:00,5574957,0.99
73,Corcovado (Quiet Nights Of Quiet Stars),8,1,2,,00:00:00,6687994,0.99
74,Outra Vez,8,1,2,,01:00:00,4110053,0.99
